,phase,pid,total_trials,trial_id,filter_cost,n_starting_guesses,whose_guess,true_word,guess,guess_number,human_guess_number,time_elapsed_curr,time_elapsed_trial,n_green,n_yellow,current_time,start_time,uniqueid,true_code,prev_exp,age,n_remaining_prev,n_remaining_post
119,TEST,1517314,10,4,None,0,Human,4133,1234,0,0,2.793,2.793,1,2,1714756400587,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,256,60
120,TEST,1517314,10,4,None,0,Human,4133,4211,1,1,8.048,10.841,1,1,1714756408635,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,60,11
121,TEST,1517314,10,4,None,0,Human,4133,4232,2,2,22.766,33.607,2,0,1714756431401,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,11,1
122,TEST,1517314,10,4,None,0,Human,4133,1233,3,3,18.563,52.17,2,1,1714756449964,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
123,TEST,1517314,10,4,None,0,Human,4133,2323,4,4,59.244,111.414,1,1,1714756509208,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
124,TEST,1517314,10,4,None,0,Human,4133,3223,5,5,33.79,145.204,1,1,1714756542998,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
125,TEST,1517314,10,4,None,0,Human,4133,1333,6,6,33.167,178.371,2,1,1714756576165,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
126,TEST,1517314,10,4,None,0,Human,4133,1233,7,7,13.447,191.818,2,1,1714756589612,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
127,TEST,1517314,10,4,None,0,Human,4133,1234,8,8,2.633,194.451,1,2,1714756592245,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
128,TEST,1517314,10,4,None,0,Human,4133,4444,9,9,35.329,229.78,1,0,1714756627574,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
129,TEST,1517314,10,4,None,0,Human,4133,1142,10,10,2.678,232.458,1,1,1714756630252,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
130,TEST,1517314,10,4,None,0,Human,4133,1234,11,11,5.249,237.707,1,2,1714756635501,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
131,TEST,1517314,10,4,None,0,Human,4133,1222,12,12,2.392,240.099,0,1,1714756637893,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
132,TEST,1517314,10,4,None,0,Human,4133,2222,13,13,1.706,241.805,0,0,1714756639599,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
133,TEST,1517314,10,4,None,0,Human,4133,3222,14,14,1.816,243.621,0,1,1714756641415,1714756397794,debug6jSBD:debugfAo4W,4133,0,25,1,1
134,TEST,1517314,10,5,Simple,2,Model,1222,3333,0,0,0.0,0.0,0,0,1714756643906,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,256,81
135,TEST,1517314,10,5,Simple,2,Model,1222,4444,1,0,0.0,0.0,0,0,1714756643906,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,81,16
136,TEST,1517314,10,5,Simple,2,Human,1222,4444,2,0,2.809,2.809,0,0,1714756646715,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,16,16
137,TEST,1517314,10,5,Simple,2,Human,1222,4444,3,1,1.314,4.123,0,0,1714756648029,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,16,16
138,TEST,1517314,10,5,Simple,2,Human,1222,4444,4,2,2.857,6.98,0,0,1714756650886,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,16,16
139,TEST,1517314,10,5,Simple,2,Human,1222,4444,5,3,1.743,8.723,0,0,1714756652629,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,16,16
140,TEST,1517314,10,5,Simple,2,Human,1222,3213,6,4,2.101,10.824,1,1,1714756654730,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,16,6
141,TEST,1517314,10,5,Simple,2,Human,1222,2222,7,5,2.108,12.932,3,0,1714756656838,1714756643906,debug6jSBD:debugfAo4W,1222,0,25,6,2
